--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:15:14 2023
--------------------------------------------------------------------------------

{'pid': 832, 'name': 'snapd', 'username': 'root', 'vms': 1721.73046875}
{'pid': 835, 'name': 'switcheroo-control', 'username': 'root', 'vms': 239.38671875}
{'pid': 840, 'name': 'systemd-logind', 'username': 'root', 'vms': 47.1640625}
{'pid': 841, 'name': 'thermald', 'username': 'root', 'vms': 278.140625}
{'pid': 842, 'name': 'udisksd', 'username': 'root', 'vms': 384.73828125}
{'pid': 843, 'name': 'wpa_supplicant', 'username': 'root', 'vms': 17.15625}
{'pid': 845, 'name': 'avahi-daemon', 'username': 'avahi', 'vms': 7.265625}
{'pid': 877, 'name': 'UVM global queue', 'username': 'root', 'vms': 0.0}
{'pid': 878, 'name': 'UVM deferred release queue', 'username': 'root', 'vms': 0.0}
{'pid': 879, 'name': 'UVM Tools Event Queue', 'username': 'root', 'vms': 0.0}
{'pid': 900, 'name': 'nvidia-persistenced', 'username': 'nvidia-persistenced', 'vms': 5.1953125}
{'pid': 907, 'name': 'cupsd', 'username': 'root', 'vms': 79.75}
{'pid': 910, 'name': 'unattended-upgr', 'username': 'root', 'vms': 123.8203125}
{'pid': 924, 'name': 'ModemManager', 'username': 'root', 'vms': 309.58984375}
{'pid': 958, 'name': 'gdm3', 'username': 'root', 'vms': 244.13671875}
{'pid': 963, 'name': 'apache2', 'username': 'root', 'vms': 6.6171875}
{'pid': 965, 'name': 'apache2', 'username': 'www-data', 'vms': 1887.34375}
{'pid': 967, 'name': 'apache2', 'username': 'www-data', 'vms': 1951.34375}
{'pid': 1041, 'name': 'upowerd', 'username': 'root', 'vms': 245.11328125}
{'pid': 1302, 'name': 'rtkit-daemon', 'username': 'rtkit', 'vms': 150.390625}
{'pid': 1352, 'name': 'kworker/1:3-events', 'username': 'root', 'vms': 0.0}
{'pid': 1632, 'name': 'cups-browsed', 'username': 'root', 'vms': 168.57421875}
{'pid': 1634, 'name': 'mongod', 'username': 'mongodb', 'vms': 2608.5859375}
{'pid': 1636, 'name': 'kerneloops', 'username': 'kernoops', 'vms': 12.77734375}
{'pid': 1638, 'name': 'kerneloops', 'username': 'kernoops', 'vms': 12.77734375}
{'pid': 1652, 'name': 'packagekitd', 'username': 'root', 'vms': 372.63671875}
{'pid': 1775, 'name': 'colord', 'username': 'colord', 'vms': 248.02734375}
{'pid': 1904, 'name': 'gdm-session-worker', 'username': 'root', 'vms': 175.171875}
{'pid': 1912, 'name': 'systemd', 'username': 'ragnar20-03', 'vms': 17.8046875}
{'pid': 1913, 'name': '(sd-pam)', 'username': 'ragnar20-03', 'vms': 166.38671875}
{'pid': 1919, 'name': 'pipewire', 'username': 'ragnar20-03', 'vms': 47.3671875}
{'pid': 1920, 'name': 'pipewire-media-session', 'username': 'ragnar20-03', 'vms': 31.5}
{'pid': 1921, 'name': 'pulseaudio', 'username': 'ragnar20-03', 'vms': 1727.86328125}
{'pid': 1932, 'name': 'dbus-daemon', 'username': 'ragnar20-03', 'vms': 9.45703125}
{'pid': 1938, 'name': 'gnome-keyring-daemon', 'username': 'ragnar20-03', 'vms': 243.828125}
